"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Peptoniphilus" "Bacteria" "Firmicutes" "Tissierellia" "Tissierellales" "Peptoniphilaceae" "Peptoniphilus" "NA"
"Peptostreptococcaceae_Incertae_Sedis" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "NA" "NA"
"Peptostreptococcus" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Peptostreptococcus" "NA"
"Polaromonas" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Polaromonas" "NA"
"Porphyromonas" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Porphyromonas" "NA"
"Prevotella" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "NA"
"Prevotellaceae_2" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "NA" "NA"
"Prevotellaceae_1" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "NA" "NA"
"Propionibacterium" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Propionibacteriaceae" "Propionibacterium" "NA"
"Propionimicrobium" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Propionibacteriaceae" "Propionimicrobium" "NA"
"Proteobacteria_12" "Bacteria" "Proteobacteria" "NA" "NA" "NA" "NA" "NA"
"Proteobacteria_1" "Bacteria" "Proteobacteria" "NA" "NA" "NA" "NA" "NA"
"Proteobacteria_2" "Bacteria" "Proteobacteria" "NA" "NA" "NA" "NA" "NA"
"Proteobacteria_9" "Bacteria" "Proteobacteria" "NA" "NA" "NA" "NA" "NA"
"Proteobacteria_13" "Bacteria" "Proteobacteria" "NA" "NA" "NA" "NA" "NA"
"Proteobacteria_11" "Bacteria" "Proteobacteria" "NA" "NA" "NA" "NA" "NA"
"Proteobacteria_14" "Bacteria" "Proteobacteria" "NA" "NA" "NA" "NA" "NA"
"Proteobacteria_15" "Bacteria" "Proteobacteria" "NA" "NA" "NA" "NA" "NA"
"Proteobacteria_3" "Bacteria" "Proteobacteria" "NA" "NA" "NA" "NA" "NA"
"Proteobacteria_16" "Bacteria" "Proteobacteria" "NA" "NA" "NA" "NA" "NA"
"Pseudomonadaceae_1" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "NA" "NA"
"Pseudomonas" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" "NA"
"Rhizobium" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium" "NA"
"Rhodococcus" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" "NA"
"Rhodoferax" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Rhodoferax" "NA"
"Riemerella" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Riemerella" "NA"
"Roseburia" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "NA"
"Roseomonas" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Roseomonas" "NA"
"Rothia" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Rothia" "NA"
"Ruminococcaceae_3" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "NA" "NA"
"Ruminococcaceae_4" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "NA" "NA"
"Ruminococcaceae_Incertae_Sedis" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "NA" "NA"
"Ruminococcaceae_2" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "NA" "NA"
"Ruminococcaceae_1" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "NA" "NA"
"Ruminococcaceae_6" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "NA" "NA"
"Ruminococcaceae_5" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "NA" "NA"
"Ruminococcaceae_8" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "NA" "NA"
"Ruminococcus" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcus" "NA"
"Salmonella" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Salmonella" "NA"
"Scardovia" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Scardovia" "NA"
"Segniliparus" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Segniliparaceae" "Segniliparus" "NA"
